State,SourceID,TargetID
TimeStamp0,Source1,Target1
TimeStamp0,Source1,Target2
TimeStamp0,Source1,Target3
TimeStamp0,Source1,Target4
TimeStamp0,Source1,Target5
TimeStamp0,Source1,Target6
TimeStamp0,Source2,Target1
TimeStamp0,Source2,Target7
TimeStamp0,Source3,Target8
TimeStamp0,Source3,Target3
TimeStamp0,Source3,Target9
TimeStamp0,Source3,Target10
TimeStamp0,Source3,Target11
TimeStamp0,Source3,Target12
TimeStamp0,Source3,Target13
TimeStamp0,Source3,Target14
TimeStamp0,Source3,Target15
TimeStamp0,Source3,Target16
TimeStamp0,Source4,Target17
TimeStamp0,Source4,Target18
TimeStamp0,Source4,Target18
TimeStamp0,Source4,Target19
TimeStamp0,Source4,Target20
TimeStamp0,Source5,Target21
TimeStamp0,Source5,Target17
TimeStamp0,Source5,Target5
TimeStamp0,Source6,Target24
TimeStamp0,Source6,Target25
TimeStamp0,Source6,Target23
